ProductId,AsOfDate,Value
EUSWE9 Curncy,31/12/2019,0.0000001382
EUSN0F5 Curncy,31/12/2019,0.0005978523
EUSN0525 Curncy,31/12/2019,0.6155187336
G0014Z 20Y BLC2 Curncy,31/12/2019,0.000052591
EUCF804 Curncy,31/12/2019,5122.980625321
EUCF408 Curncy,31/12/2019,8060.4484411
EUSN0210 Curncy,31/12/2019,0.3758303260
EUSWE35 Curncy,31/12/2019,0.0000225417
EUSN0520 Curncy,31/12/2019,0.7007364476
Corp2027_BBB Govt,31/12/2019,1.1220853230
G0020Z 9Y BLC2 Curncy,31/12/2019,0.0000011445
EUSN3030 Curncy,31/12/2019,0.0255041298
Corp2039_BBB Govt,31/12/2019,1.112814963
EUCF2258 Curncy,31/12/2019,11492.91203646
EUCF305 Curncy,31/12/2019,0.9659941227
Copr2027_AAA Govt,31/12/2019,1.1325216839
EUSW3V3  Curncy,31/12/2019,0.0000097863
EUSN159 Curncy,31/12/2019,0.3605402567
G0061Z 30Y BLC2 Curncy,31/12/2019,0.0002216989
EUSN2025 Curncy,31/12/2019,0.078372305
EUCF2251 Curncy,31/12/2019,12869.76803944
EUCF2256 Curncy,31/12/2019,11502.5625567
Corp2031_AA Govt,31/12/2019,1.0685357183
G0016Z 9Y BLC2 Curncy,31/12/2019,0.0000056212
EUCF2520 Curncy,31/12/2019,10761.9876374
EUCF4015 Curncy,31/12/2019,8042.5024766
Corp2039_A Govt,31/12/2019,1.1130953805
EUCF7010 Curncy,31/12/2019,5612.257225844
EUSN0430 Curncy,31/12/2019,0.6220477200
Corp2023_A Govt,31/12/2019,1.0878247832
EUSN0C2 Curncy,31/12/2019,0.0006477278
EUCF208 Curncy,31/12/2019,12336.5449236
Corp2026_BBB Govt,31/12/2019,1.0932124266
G0177Z 7Y BLC2 Curncy,31/12/2019,0.0004013568
EUSN254 Curncy,31/12/2019,0.0680688339
EUCF3010 Curncy,31/12/2019,9635.3856883
EUCF808 Curncy,31/12/2019,5143.7584171
G0061Z 3Y BLC2 Curncy,31/12/2019,0.0000078785
EUSN018 Curncy,31/12/2019,0.131044468
Gov2032 Govt,31/12/2019,1.9573689510
EUSN0F15 Curncy,31/12/2019,0.6257601873
G0061Z 20Y BLC2 Curncy,31/12/2019,0.0001353572
EUSN102 Curncy,31/12/2019,0.5058766133
EUSW40V3  Curncy,31/12/2019,0.0000289717
EUCF1752 Curncy,31/12/2019,17072.0356667
EUCF2212 Curncy,31/12/2019,11480.05103297
EUSN301 Curncy,31/12/2019,0.0501984943
G0016Z 20Y BLC2 Curncy,31/12/2019,0.0000036803
EUSWE7 Curncy,31/12/2019,0.0000028628
EUSWE10 Curncy,31/12/2019,0.0000001654
EUSN031 Curncy,31/12/2019,0.0003063384
EUSA3 Curncy,31/12/2019,0.0000057518
EUR001W Index,31/12/2019,0.0000249242
EUCF503 Curncy,31/12/2019,0.6868266464
EUCF607 Curncy,31/12/2019,6220.4769703
EUSN1010 Curncy,31/12/2019,0.6186609867
EUCF1756 Curncy,31/12/2019,13367.9844616
EUSN071 Curncy,31/12/2019,0.209764962
EUCF1757 Curncy,31/12/2019,13362.20403629
EUSN035 Curncy,31/12/2019,0.1315513821
EUSA20 Curncy,31/12/2019,0.0000345641
EUSA9 Curncy,31/12/2019,0.0000022858
EUSN258 Curncy,31/12/2019,0.0719581977
G0014Z 9Y BLC2 Curncy,31/12/2019,0.0000002327
EUSN073 Curncy,31/12/2019,0.3717341418
EUSN016 Curncy,31/12/2019,0.028866493
EUSA3 ISCF Index,31/12/2019,0.0000056333
EUCF8015 Curncy,31/12/2019,5127.9921923
EUSWE6 Curncy,31/12/2019,0.0000053748
Corp2028_AA Govt,31/12/2019,1.2022684534
EUSN037 Curncy,31/12/2019,0.2605082352
EUSN014 Curncy,31/12/2019,0.000513529
EUSN0315 Curncy,31/12/2019,0.7045924212
EI107653 Corp,31/12/2019,1.0864696942
EUSN056 Curncy,31/12/2019,0.376996857
EUCF909 Curncy,31/12/2019,4749.277225200
G0061Z 1Y BLC2 Curncy,31/12/2019,0.0000213166
EUSW12V3  Curncy,31/12/2019,0.0000069400
EUSN2015 Curncy,31/12/2019,0.1234468833
EUFR0K1E Curncy,31/12/2019,0.0000085879
EUSN105 Curncy,31/12/2019,0.6041953724
EUCF106 Curncy,31/12/2019,18494.64003544
EUSN0A3 Curncy,31/12/2019,0.0006943929
G0014Z 4Y BLC2 Curncy,31/12/2019,0.0000208876
EUSWE30 Curncy,31/12/2019,0.0000244386
EUCF352 Curncy,31/12/2019,9705.205225369
EUSN0415 Curncy,31/12/2019,0.7185953526
EUCF707 Curncy,31/12/2019,5624.250025269
EUSN108 Curncy,31/12/2019,0.6163035785
EUCF1015 Curncy,31/12/2019,18466.0921427
EUCF307 Curncy,31/12/2019,9648.150625927
EUCF5020 Curncy,31/12/2019,6973.9201426
EUCF2010 Curncy,31/12/2019,12328.77123690
EUSWEE Curncy,31/12/2019,0.0000196204
G0177Z 3Y BLC2 Curncy,31/12/2019,0.0002687828
EUSN0410 Curncy,31/12/2019,0.5432427546
Gov2030 Govt,31/12/2019,1.5173312855
EUCF8020 Curncy,31/12/2019,5125.844025433
EUCF1751 Curncy,31/12/2019,15701.34303884
EUSWE1 Curncy,31/12/2019,0.00002744
EUCV15 Curncy,31/12/2019,27416.7364497
EUSN0425 Curncy,31/12/2019,0.6705153665
EUSN208 Curncy,31/12/2019,0.1506992260
G0040Z 7Y BLC2 Curncy,31/12/2019,0.0001047813
G0014Z 1Y BLC2 Curncy,31/12/2019,0.0000379292
EUSN0C10 Curncy,31/12/2019,0.2093063264
EUSN0C5 Curncy,31/12/2019,0.0006477832
EUSN307 Curncy,31/12/2019,0.0479172322
EUSN1520 Curncy,31/12/2019,0.2254825280
Corp2034_BBB Govt,31/12/2019,0.9954275885
Corp2035_BBB Govt,31/12/2019,1.1471481137
EUSN0C25 Curncy,31/12/2019,0.9280432753
EUCF3020 Curncy,31/12/2019,9623.61385
EUSW35V3  Curncy,31/12/2019,0.0000316710
EUSN306 Curncy,31/12/2019,0.0549668975
